ARTIGAS MANUEL de,,,,,
"ARTIGAS, JOSE GERVASIO DE,",,,,,
ARTILLEROS,,,,,
ARZOBISPO ESPINOSA,,,,,
ASAMBLEA,,,,,
ASCASUBI,,,,,
ASIA,,,,,
ASTURIAS,,,,,
ASUNCION,,,,,
ATACALCO,,,,,
ATAHUALPA,,,,,
ATENAS,,,,,
"ATENZO, LEOPOLDO Mec. Militar",,,,,
ATUEL,,,,,
"AUBAIN, TEODORO Dr.",,,,,
AUSTRALIA,,,,,
AUSTRIA,,,,,
AVALLE,,,,,
AVALOS,,,,,
AVELLANEDA,,,,,
"AVILES, VIRREY",,,,,
AYACUCHO,,,,,
AYOLAS,,,,,
AYUI,,,,,
AZARA,,,,,
AZCUENAGA,,,,,
"AZCUENAGA, DOMINGO DE",,,,,
AZOPARDO,,,,,
AZUL,,,,,
AZURDUY JUANA,,,,,
BACACAY,,,,,
"BACH, JUAN SEBASTIAN",,,,,
"BACLE, CESAR H.",,,,,
BACON,,,,,
BAEZ,,,,,
BAHÍA,,,,,
BAHIA BLANCA,,,,,
BAIGORRI,,,,,
BAIGORRIA,,,,,
"BALANDRA, CARMEN",,,,,
BALBASTRO,,,,,
"BALBIN, JOSE CELEDONIO",,,,,
"BALBIN, RICARDO, DR.",,,,,
BALBOA,,,,,
BALCARCE,,,,,
"BALCARCE, FLORENCIO",,,,,
"BALDRICH, JUAN A. de, Cnel.",,,,,
"BALIÑA, PEDRO, Dr.",,,,,
BALLIVIAN,,,,,
"BALTORE, JOSE R.",,,,,
BANCHS ENRIQUE,,,,,
BARADERO,,,,,
BARAGAÑA,,,,,
BARCA CABO DE HORNOS,,,,,
BARCALA,,,,,
BARCELONA,,,,,
BARCO CENTENERA del,,,,,
"BARILARI, ATILIO S., Alte.",,,,,
BARILOCHE,,,,,
BARRAGAN,,,,,
BARRIENTOS,,,,,
"BARROS PAZOS, JOSE",,,,,
BARZANA,,,,,
BASAVILBASO,,,,,
"BASAVILBASO, LEOPOLDO",,,,,
BASUALDO,,,,,
BATALLA DEL PARI,,,,,
